User,Month,Issues,PRs,Merges
Piterang,5,1,0,0
Piterang,6,2,0,0
PlayerJian,3,1,0,0
PlayerJian,5,1,0,0
PlayerJian,7,2,0,0
PlayerJian,10,1,0,0
PlumBlossomMaid,1,1,0,0
PlumBlossomMaid,10,1,0,0
Pointvar,10,1,0,0
Prince5867,9,1,0,0
Print1n,4,1,0,0
Programrookie33,1,1,0,0
Programrookie33,7,1,0,0
Programrookie33,9,1,0,0
ProudOrange,9,1,0,0
Pumpkinhn,10,1,0,0
PureWaterCatt,5,4,0,0
PureWaterCatt,6,1,0,0
PureWaterCatt,11,1,0,0
PxCPeter2801,2,3,0,0
PxCPeter2801,3,1,0,0
QAQyy,4,1,0,0
QHdsj1,2,1,0,0
QQiangren,5,1,0,0
Qengineering,1,1,0,0
Qhuhair,3,1,0,0
Qi0716,3,1,0,0
QianYing-LYG,10,1,0,0
Qiuyanghang,5,1,0,0
QuantumStaticFR,7,1,0,0
R4Ajeti,3,1,0,0
RRRRUSH,5,2,0,0
RadioWaverider,5,1,0,0
Rainbow8pony,12,1,0,0
RasmusJohns,1,1,0,0
Ray961123,2,5,0,0
Ray961123,3,1,0,0
Ray961123,9,1,2,0
Rayarrow94,3,1,0,0
RedContritio,4,1,0,0
Redhair957,10,1,0,0
RemyHaijie,9,1,0,0
RemyHaijie,10,1,0,0
Ren-Xin,1,4,0,0
Rene36,3,1,0,0
RicardaY,10,1,0,0
RichardQin1,1,1,0,0
RickLir,6,1,0,0
RickyGunawan09,1,1,0,0
RileyShe,6,1,0,0
Riyoubou,10,1,0,0
RlonLL11FE,7,1,0,0
Robert-Lu,2,1,0,0
Roboxkin,4,2,0,0
RockL888,7,2,0,0
RomRoc,1,2,0,0
Rruown,2,1,0,0
Rruown,3,1,0,0
Rsndmmm,5,1,0,0
Ruanlt,4,1,0,0
RubinCarter,4,1,0,0
Ruby799,6,1,0,0
Runinthenight,12,1,0,0
RyanOvO,4,2,0,0
Ryder-Xu,3,1,0,0
SANFUSHENG,3,1,0,0
SHYBEENOMULA,4,1,0,0
SK-XFY,9,1,0,0
SSZ1,2,1,0,0
SUCKER255,1,1,0,0
SUPEROKMAN,1,1,0,0
SWHL,6,3,12,8
SWHL,8,1,11,8
SWHL,12,1,1,2
SageMik,1,1,0,0
Sakurafwsv,4,1,0,0
Samuel-gwb,9,1,0,0
Sanath1998,3,1,0,0
SandDeco,3,2,0,0
Sandwiches97,5,1,0,0
SatoriEye,7,1,0,0
Scott0902,7,1,0,0
SeaMountains,11,1,0,0
SeeYouAgainZm,9,1,0,0
Sencc,4,1,0,0
SenitCo,1,2,0,0
SenitCo,2,3,0,0
Serenagirl,10,3,0,0
Shaquille-Wu,3,1,0,0
Shaun-Wong,3,1,0,0
ShaunLeeblob,7,1,0,0
ShaunLeeblob,9,2,0,0
Shawn-Tao,10,1,0,0
ShawnALiu,4,1,0,0
ShawnNew,3,1,0,0
ShawnNew,4,1,3,0
Sherry-yanqi,3,1,1,0
Sherryran08,12,1,0,0
Shi-YangWang,10,1,0,0
Shirwinerjay,6,1,0,0
Shiyue-Lee,12,1,0,0
ShubhamZoop,2,1,0,0
SiZY2002,12,1,0,0
SigureMo,2,1,3,29
SigureMo,3,1,6,4
SigureMo,4,2,12,8
SigureMo,11,2,8,12
SijieY,3,1,0,0
SilenceAmbition,9,1,0,0
Simon-Guan,2,1,0,0
Sinoftj,4,2,0,0
SiqinLv,3,1,0,0
SiqinLv,4,2,0,0
SiqinLv,6,1,0,0
Skypow2012,6,1,0,0
SleepEarlyLiveLong,10,1,0,0
Smile0524,3,2,0,0
SmilingFaceGXQ,5,1,0,0
Snailser,1,1,0,0
SolMing,12,2,0,0
SonGohan757,7,1,0,0
SongJasper,4,1,0,0
